URL,Title,SKU,Country,Area,Body,Size,Feels Like,Finish,Colour,Warranty,Edging,Images
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-limestone-natural-18943,Stratos Limestone Natural,MAXFL1043,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,600 x 600mm,Fine Grain Cement,Matt,Ivory,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1043.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1043_5.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-limestone,Stratos Limestone,MAXFL1044,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Ivory,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1044.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-bianco,Stratos Bianco,MAXFL121,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Beige,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl121.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl121-bianco_pol_002_4.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-dark-grey,Stratos Dark Grey,MAXFL1054,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Dark Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1054.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1054_dark_grey_300x300.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-wet-cement,Stratos Wet Cement,MAXFL133,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Light Brown,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl133_5.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl133_16.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-19009,Stratos Light Grey,MAXFL7030,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Light Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7030.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7030_1.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-mocca,Stratos Mocca,MAXFL7049,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Mocca,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7049.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7049_5.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-nero,Stratos Nero,MAXFL7077,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 298mm,Polished Concrete,Polished,Black,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7077.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl7077_5.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-dark-grey-18966,Stratos Dark Grey,MAXFL1055,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Polished Concrete,Polished,Dark Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/a/dark_grey_polished_rename.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maxfl1055.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/technika-limestone-18967,Stratos Limestone,MAXFL1045,China,"Bathroom, Floor & Wall, Kitchen, Laundry, Living",Porcelain,298 x 600mm,Polished Concrete,Polished,Ivory,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/t/stratos_limestone_polished_rename.jpg
